sim,a_skill,s_skill,eps_outside,U_outside_total,choice,feasible_firm_1,feasible_firm_2,feasible_firm_3,feasible_firm_4,feasible_firm_5,feasible_firm_6,feasible_firm_7,feasible_firm_8,feasible_firm_9,feasible_firm_10,eps_firm_1,eps_firm_2,eps_firm_3,eps_firm_4,eps_firm_5,eps_firm_6,eps_firm_7,eps_firm_8,eps_firm_9,eps_firm_10,U_firm_1,U_firm_2,U_firm_3,U_firm_4,U_firm_5,U_firm_6,U_firm_7,U_firm_8,U_firm_9,U_firm_10
486,4.270838307558983,11.708122796654571,0.8019008927488712,0.8019008927488712,4,True,True,True,True,True,True,True,False,True,True,0.9636381319382201,2.081277051659802,0.41464979043314765,3.633505039329863,0.04589785563196429,1.0113796065475475,-1.0280024990919345,0.7809958525484761,1.1215115384827574,-0.4791783848593519,3.6155144719646817,6.109958728300402,0.9862329335536731,7.062629745983587,4.19464694075944,6.47051632400472,2.271418539900395,-inf,5.518871976514577,4.2806349564372805
487,1.1191496715618447,8.556434160657433,-1.1939188895389057,-1.1939188895389057,1,True,False,True,False,False,False,False,False,False,False,3.4969493055976826,1.1271149606779354,-0.28122833600774483,5.03113211155964,0.5577679640010179,-1.0037917913813224,0.13678978014685858,0.5183678749663995,-0.05207196755985296,0.9588367752407313,6.148825645624144,-inf,0.29035480711278067,-inf,-inf,-inf,-inf,-inf,-inf,-inf
488,-0.24820070689312124,7.1890837822024665,0.40268631473484634,0.40268631473484634,0,False,False,True,False,False,False,False,False,False,False,1.8675494731993287,1.5830520804596668,-1.279450088469388,3.3366611031200044,1.5334641514913394,-0.3089879031196447,0.8678684412138933,-1.5226659565469243,3.5115619535243443,0.6828862301554525,-inf,-inf,-0.7078669453488625,-inf,-inf,-inf,-inf,-inf,-inf,-inf
489,-1.2477739327673074,6.189510556328281,0.19560956836528404,0.19560956836528404,3,False,False,True,False,False,False,False,False,False,False,2.196287911965716,0.08095177852060978,-0.13163064963295493,0.6941444217925344,0.5963684464714284,-0.42134351223544364,1.7403443448453144,-1.250645854837839,0.183485780912772,-0.8416426488658274,-inf,-inf,0.4399524934875706,-inf,-inf,-inf,-inf,-inf,-inf,-inf
490,1.966866618712988,9.404151107808577,0.13768998956699782,0.13768998956699782,1,True,False,True,True,False,False,False,False,False,False,0.44135874714118145,2.469627329070845,1.8108219535439052,-1.222795924765157,2.7459700116297827,0.46311900813653234,-0.28379424243611207,0.39714290596418395,3.9573830256601386,-0.014853802211944576,3.093235087167643,-inf,2.3824050966644306,2.206328781888567,-inf,-inf,-inf,-inf,-inf,-inf
491,2.1591949966053123,9.5964794857009,0.40104700538160853,0.40104700538160853,4,True,False,True,True,False,True,False,False,False,False,1.5026459925481532,0.7767215555824248,-1.4459657053052628,5.449261973212525,1.823102489014086,2.6828359001357014,-1.143293856878777,0.18588653598172344,0.19241391670697897,2.053711757606724,4.154522332574615,-inf,-0.8743825621847373,8.87838667986625,-inf,8.141972617592874,-inf,-inf,-inf,-inf
492,-0.6623121455866492,6.774972343508939,0.5178669098800218,0.5178669098800218,3,False,False,True,False,False,False,False,False,False,False,-1.0350901691796308,-0.7755662041968895,2.0949088672825007,1.4153585975248788,1.1182340124911572,-0.0228207910170037,-0.4872724243390946,0.5569145320348547,1.2340204631253444,0.6466687326290022,-inf,-inf,2.6664920104030263,-inf,-inf,-inf,-inf,-inf,-inf,-inf
493,-0.33748810570970333,7.099796383385884,2.491142501918898,2.491142501918898,0,False,False,True,False,False,False,False,False,False,False,5.611888411717033,0.9706571889485709,-1.2460882757091516,0.4965379956617111,1.8490460110014522,4.709481378514598,-0.36484830766166104,3.705674147411489,0.17610786493902927,-1.1432557650714317,-inf,-inf,-0.6745051325886261,-inf,-inf,-inf,-inf,-inf,-inf,-inf
494,-3.4477758092980357,3.9895086797975523,0.7299260805145008,0.7299260805145008,0,False,False,False,False,False,False,False,False,False,False,1.5267160423122836,1.688613518479175,-0.08735189533985843,1.0324341110569568,2.4332398263117514,-0.16352278472791923,1.7986724148195934,-0.036891522610046454,-0.02883521801205298,0.9527751102774855,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
495,0.7006218311224928,8.13790632021808,1.542388361667724,1.542388361667724,3,True,False,True,False,False,False,False,False,False,False,-0.2729984334325878,3.7288430955945673,3.380142759184646,-0.44716529159955265,0.3735506522584935,1.6535678419337243,0.48075990356130094,0.5902772895162242,10.73699692521406,-0.19739993729849822,2.3788779065938734,-inf,3.9517259023051716,-inf,-inf,-inf,-inf,-inf,-inf,-inf
496,0.40856160982282064,7.8458460989184085,-0.8085651414427457,-0.8085651414427457,3,False,False,True,False,False,False,False,False,False,False,0.47196211126978294,0.07797432616110252,2.2429860507344497,3.415650800339557,0.7802223859151611,0.020033952319771724,1.8170976807866828,0.9973925881621247,0.9399461927745646,-0.15423327954324031,-inf,-inf,2.8145691938549753,-inf,-inf,-inf,-inf,-inf,-inf,-inf
497,-0.9350130810931966,6.502271408002391,1.1318217098522056,1.1318217098522056,0,False,False,True,False,False,False,False,False,False,False,0.8854918769734774,-0.16906762262522423,0.02662531444274797,2.146862204178127,-0.9470473687360978,0.8980320474425736,-0.6910868702466421,0.01819455158335336,0.7658353000757845,0.8084117246783284,-inf,-inf,0.5982084575632735,-inf,-inf,-inf,-inf,-inf,-inf,-inf
498,0.43435855052508243,7.87164303962067,-1.028980617704334,-1.028980617704334,3,False,False,True,False,False,False,False,False,False,False,-1.0775105885936795,-0.5332257222169264,0.3643314118174916,-0.07239273199746576,1.1463910693580446,2.683417254494445,0.8624277130596322,2.601070069908267,-1.0881617471737068,3.6362992701754666,-inf,-inf,0.9359145549380171,-inf,-inf,-inf,-inf,-inf,-inf,-inf
499,0.3006683694498683,7.737952858545456,0.8595883451090048,0.8595883451090048,0,False,False,True,False,False,False,False,False,False,False,0.29724745350230414,-0.04903078930050786,-0.6617435353333222,-0.5130278206870676,-1.4701807853215618,-1.711832223036965,-0.5022770328820537,0.4145841005505655,1.2197471940273554,0.4700411371018833,-inf,-inf,-0.0901603922127967,-inf,-inf,-inf,-inf,-inf,-inf,-inf
